Peak_Index,MJD,CTR
33500,61207.887730505,24.0
42913,61207.99667726425,16.0
21104,61207.74425828277,15.0
12736,61207.647406430915,12.0
10394,61207.62029994944,9.0
6995,61207.58095967166,8.0
26040,61207.801387912405,8.0
